timestamp,log_type,message
16.12911,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.14089,Log,Hit Blackzone
16.14089,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.15143,Log,Hit Blackzone
16.15143,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.16271,Log,Hit Blackzone
16.16271,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.17408,Log,Hit Blackzone
16.17408,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.18527,Log,Hit Blackzone
16.18527,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.19641,Log,Hit Blackzone
16.19641,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.20741,Log,Hit Blackzone
16.20741,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.21852,Log,Hit Blackzone
16.21852,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.22993,Log,Hit Blackzone
16.22993,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.24106,Log,Hit Blackzone
16.24106,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.25295,Log,Hit Blackzone
16.25295,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.26292,Log,Hit Blackzone
16.26292,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.27473,Log,Hit Blackzone
16.27473,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.28717,Log,Hit Blackzone
16.28717,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.29709,Log,Hit Blackzone
16.29709,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.30819,Log,Hit Blackzone
16.30819,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.31893,Log,Hit Blackzone
16.31893,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.3301,Log,Hit Blackzone
16.3301,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.3419,Log,Hit Blackzone
16.3419,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.35263,Log,Hit Blackzone
16.35263,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.3635,Log,Hit Blackzone
16.3635,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.37505,Log,Hit Blackzone
16.37505,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.38563,Log,Hit Blackzone
16.38563,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.39759,Log,Hit Blackzone
16.39759,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.40864,Log,Hit Blackzone
16.40864,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.41912,Log,Hit Blackzone
16.41912,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.43026,Log,Hit Blackzone
16.43026,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.44156,Log,Hit Blackzone
16.44156,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.45265,Log,Hit Blackzone
16.45265,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.46382,Log,Hit Blackzone
16.46382,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.47525,Log,Hit Blackzone
16.47525,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.488,Log,Hit Blackzone
16.488,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.49724,Log,Hit Blackzone
16.49724,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.5086,Log,Hit Blackzone
16.5086,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.52004,Log,Hit Blackzone
16.52004,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.53119,Log,Hit Blackzone
16.53119,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
16.54223,Log,Hit Blackzone
